Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.100000	2.045564	1.988214	2.288341	27.607348	31.560000	5.690000	
0.100000	1.550126	1.687341	1.656892	42.670642	43.110000	25.400000	
0.100000	1.293479	1.224411	1.943343	53.692309	58.110000	13.640000	
0.100000	1.087944	1.107662	1.796732	61.504451	62.480000	20.570000	
0.100000	0.952999	1.250247	1.206963	66.528329	54.880000	43.980000	
0.100000	0.735307	0.846188	0.817013	74.446828	69.870000	75.950000	
0.100000	0.538013	0.712886	0.008852	81.245435	75.820000	99.710000	
0.100000	0.477421	0.781436	0.001101	83.466453	74.070000	99.990000	
0.100000	0.439621	0.717515	0.015966	84.755268	76.090000	99.570000	
0.100000	0.416938	0.717296	0.005466	85.591539	75.850000	99.870000	
0.100000	0.394366	0.725917	0.114538	86.431980	75.810000	96.540000	
0.100000	0.375742	0.929797	0.023780	87.043020	71.130000	99.300000	
0.100000	0.364392	0.595079	0.001082	87.464283	79.920000	99.960000	
0.100000	0.351147	0.824922	0.418927	87.777102	74.250000	88.940000	
0.100000	0.340197	0.610384	0.041818	88.423596	79.590000	98.670000	
0.100000	0.331388	0.581047	0.017659	88.475732	81.380000	99.430000	
0.100000	0.314004	0.627929	0.000005	89.126397	78.830000	100.000000	
0.100000	0.316290	0.595250	0.054212	89.170191	80.040000	98.200000	
0.100000	0.311543	0.575243	0.234021	89.228584	81.440000	93.970000	
0.100000	0.301945	0.513478	0.005475	89.622736	82.510000	99.870000	
0.100000	0.293058	0.760914	0.022045	89.954325	76.010000	99.390000	
0.100000	0.291618	0.591168	0.079424	89.854223	80.720000	97.440000	
0.100000	0.295352	0.615302	0.260787	89.818770	79.900000	92.970000	
0.100000	0.286022	0.606946	0.008800	90.125333	79.880000	99.720000	
0.100000	0.282965	0.732617	0.042044	90.206666	76.460000	98.770000	
0.100000	0.281731	0.533862	0.151054	90.306768	82.760000	96.330000	
0.100000	0.275199	0.608300	0.008579	90.594562	80.110000	99.720000	
0.100000	0.274477	0.599840	0.043286	90.519485	80.300000	98.470000	
0.100000	0.269893	0.663701	0.060816	90.659211	79.300000	98.030000	
0.100000	0.271983	0.770490	0.201862	90.594562	76.190000	93.430000	
0.100000	0.262621	0.671387	0.058833	90.869843	79.050000	98.180000	
0.100000	0.268997	0.639555	0.000107	90.725946	79.560000	100.000000	
0.100000	0.270356	0.617130	0.378708	90.815621	79.560000	89.680000	
0.100000	0.256537	0.628336	0.630361	91.255653	79.930000	79.670000	
0.100000	0.263030	0.546963	0.000605	90.915723	82.530000	99.980000	
0.100000	0.256855	0.693376	0.054994	91.090902	77.680000	98.300000	
0.100000	0.252091	0.763820	0.001553	91.389123	75.970000	99.970000	
0.100000	0.255718	0.552532	0.000081	91.293192	81.480000	100.000000	
0.100000	0.262018	0.660833	0.017921	90.957432	79.570000	99.440000	
0.100000	0.253293	0.636156	0.090423	91.345328	79.390000	97.050000	
0.100000	0.245312	0.730867	0.669067	91.457943	78.290000	84.990000	
0.100000	0.252647	0.498269	0.021976	91.364098	83.170000	99.360000	
0.100000	0.246972	0.637331	0.005698	91.555960	79.900000	99.840000	
0.100000	0.249858	0.547476	0.021630	91.345328	82.270000	99.260000	
0.100000	0.242047	0.542169	0.000580	91.804130	81.750000	99.990000	
0.100000	0.245230	0.626933	0.399491	91.480883	80.530000	90.050000	
0.100000	0.249153	0.494175	0.000027	91.474627	83.340000	100.000000	
0.100000	0.252203	0.637572	0.000079	91.232713	79.900000	100.000000	
0.100000	0.243479	0.643349	0.000000	91.603926	79.430000	100.000000	
0.100000	0.245167	0.608622	0.046231	91.482969	80.570000	98.650000	
0.100000	0.246788	0.555065	0.020509	91.580985	82.480000	99.450000	
0.100000	0.244432	0.580823	0.045964	91.489225	80.900000	98.630000	
0.100000	0.245408	0.611000	0.000026	91.533020	80.090000	100.000000	
0.100000	0.241425	0.557543	0.000329	91.749908	82.440000	99.990000	
0.100000	0.247269	0.515937	0.019799	91.541361	83.330000	99.320000	
