Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.100000	0.231635	0.704016	0.112719	92.029360	78.420000	96.250000	
0.100000	0.235783	0.694193	0.000683	91.975138	78.150000	99.980000	
0.100000	0.229814	0.529241	1.031371	92.169086	82.430000	74.050000	
0.100000	0.236679	0.559766	0.159533	91.895890	81.670000	95.220000	
0.100000	0.241782	0.556248	0.005689	91.820814	82.440000	99.850000	
0.100000	0.233550	0.813140	2.139818	92.025189	75.130000	46.660000	
0.100000	0.232211	1.086696	0.000305	92.152402	68.650000	100.000000	
0.100000	0.237251	0.652462	0.018062	91.983479	79.170000	99.630000	
0.100000	0.232451	0.846693	2.069464	92.164915	75.520000	52.160000	
0.100000	0.231770	0.643274	0.006208	92.081496	79.070000	99.780000	
0.100000	0.229903	0.477450	0.220388	92.068984	84.240000	92.970000	
0.100000	0.231714	0.465924	0.171472	92.089838	84.650000	94.760000	
0.100000	0.230777	0.662679	0.008155	92.110693	80.040000	99.790000	
0.100000	0.235006	0.694743	0.065821	91.987651	78.440000	98.000000	
0.100000	0.231608	0.546114	0.027913	91.973052	82.510000	98.970000	
0.100000	0.238964	0.627260	0.005572	91.820814	79.490000	99.830000	
0.100000	0.232888	0.480447	0.148060	92.235820	84.250000	95.330000	
0.100000	0.230595	0.645438	0.007093	91.983480	80.110000	99.770000	
0.100000	0.228814	0.653704	0.060564	92.235820	79.710000	97.980000	
0.100000	0.233211	0.567023	0.062605	92.048129	81.900000	97.980000	
0.100000	0.239734	0.787868	0.070083	91.731139	76.290000	97.730000	
0.100000	0.229693	0.647830	0.003076	92.185770	79.220000	99.890000	
0.100000	0.230718	0.548952	0.095664	92.198282	82.070000	96.930000	
0.100000	0.233592	0.647657	0.023890	92.046044	78.940000	99.330000	
0.100000	0.230223	0.698683	0.000005	92.202453	77.800000	100.000000	
0.100000	0.226800	0.530479	0.072747	92.217051	82.480000	97.650000	
0.100000	0.227081	0.579664	0.330928	92.333837	81.670000	91.700000	
0.100000	0.232785	0.573667	0.047614	92.123206	81.360000	98.450000	
0.100000	0.230218	0.685377	0.003885	92.127377	78.280000	99.910000	
0.100000	0.227505	0.560180	0.142353	92.229564	81.920000	95.800000	
0.100000	0.232604	0.522820	0.000658	92.043958	82.730000	99.970000	
0.100000	0.225411	0.740912	4.060249	92.479820	77.350000	25.140000	
0.100000	0.225900	0.741339	0.003860	92.427683	77.310000	99.890000	
0.100000	0.233109	0.615484	0.032908	92.025189	80.390000	99.060000	
0.100000	0.231319	0.632948	0.799531	92.094009	80.070000	76.730000	
0.100000	0.234945	0.481027	0.066243	92.002249	84.030000	97.930000	
0.100000	0.219688	0.482051	0.519094	92.534042	84.140000	86.250000	
0.100000	0.228796	0.586101	0.169255	92.164915	82.050000	94.350000	
0.100000	0.226369	0.675858	0.049533	92.200368	78.920000	98.500000	
0.100000	0.228979	0.714346	0.283503	92.254590	78.090000	90.420000	
0.100000	0.227543	0.594363	0.010664	92.131547	80.850000	99.660000	
0.100000	0.230279	0.582148	0.038910	92.160744	81.300000	98.790000	
0.100000	0.228302	0.584602	0.002432	92.273359	81.370000	99.960000	
0.100000	0.226451	0.727976	0.026862	92.310897	78.380000	99.210000	
0.100000	0.220570	0.677277	1.384755	92.550725	78.370000	62.510000	
0.100000	0.230499	0.626130	1.876941	92.050214	80.490000	55.090000	
0.100000	0.228605	0.528983	0.061901	92.340094	82.380000	98.300000	
0.100000	0.226914	0.624150	0.190874	92.427683	80.550000	94.070000	
0.100000	0.233829	0.542262	0.004793	91.998078	82.300000	99.840000	
0.100000	0.225700	0.592944	0.065146	92.306726	81.630000	97.850000	
0.100000	0.223964	0.553565	0.003564	92.390145	82.140000	99.910000	
0.100000	0.235731	0.630248	0.439894	91.850010	79.540000	87.400000	
0.100000	0.215625	0.588942	1.713504	92.736332	81.460000	52.310000	
0.100000	0.223998	0.651249	0.007036	92.427683	79.140000	99.750000	
0.100000	0.228275	0.475858	0.001780	92.242077	84.440000	99.950000	
0.100000	0.225966	0.552016	0.001424	92.335923	82.120000	99.970000	
0.100000	0.233232	0.688746	0.007845	92.002249	77.060000	99.840000	
0.100000	0.228910	0.602120	0.061605	92.269188	80.130000	98.060000	
0.100000	0.226354	0.715018	4.677176	92.287957	77.000000	17.700000	
0.100000	0.235750	0.810795	0.053634	91.916745	75.790000	98.480000	
0.100000	0.231469	0.623712	0.002576	92.187855	81.050000	99.900000	
0.100000	0.220638	0.535948	0.826193	92.515273	82.280000	74.020000	
0.100000	0.232074	0.631623	0.003739	91.945941	80.340000	99.920000	
0.100000	0.219743	0.576162	0.110559	92.488161	81.440000	96.410000	
0.100000	0.229753	0.623584	0.005238	92.275444	80.380000	99.800000	
0.100000	0.226969	0.547701	0.035360	92.229564	82.220000	98.920000	
0.100000	0.219424	0.560446	0.047246	92.544469	81.270000	98.590000	
0.100000	0.224110	0.600005	0.200273	92.367205	80.600000	93.040000	
0.100000	0.225415	0.548262	0.015637	92.323410	82.410000	99.580000	
0.100000	0.232006	0.975237	0.035701	92.043958	73.950000	99.020000	
0.100000	0.227285	0.605472	0.291678	92.189940	80.930000	89.940000	
0.100000	0.223638	0.540940	0.022581	92.438111	82.710000	99.210000	
0.100000	0.226546	0.918856	0.098654	92.321325	71.740000	97.230000	
0.100000	0.235784	0.570339	0.028181	91.927172	81.890000	99.060000	
0.100000	0.222355	0.607273	0.002577	92.406829	80.000000	99.940000	
0.010000	0.094594	0.290236	0.002062	97.021957	90.620000	99.940000	
0.010000	0.043634	0.288012	0.002489	98.794600	91.150000	99.930000	
0.010000	0.026634	0.294265	0.002423	99.399385	91.200000	99.930000	
0.010000	0.017342	0.297965	0.001923	99.670496	91.380000	99.950000	
0.010000	0.012389	0.304553	0.002094	99.795624	91.300000	99.950000	
0.010000	0.008775	0.304361	0.001946	99.891556	91.400000	99.950000	
0.010000	0.007154	0.305116	0.002050	99.933265	91.660000	99.950000	
0.010000	0.005544	0.306133	0.002139	99.964547	91.470000	99.940000	
0.010000	0.004640	0.306825	0.002114	99.981231	91.600000	99.940000	
0.010000	0.004099	0.307804	0.001976	99.981231	91.460000	99.940000	
0.010000	0.003623	0.306525	0.001838	99.991658	91.650000	99.950000	
0.010000	0.003308	0.308042	0.001850	99.989573	91.630000	99.950000	
0.010000	0.003111	0.306653	0.001816	99.995829	91.690000	99.950000	
0.010000	0.002922	0.303945	0.002085	99.997915	91.740000	99.940000	
0.010000	0.002770	0.306745	0.001693	100.000000	91.750000	99.960000	
0.010000	0.002684	0.301812	0.002124	99.997915	91.690000	99.950000	
0.010000	0.002621	0.302836	0.001876	100.000000	91.920000	99.940000	
0.010000	0.002550	0.302719	0.001968	100.000000	91.760000	99.950000	
0.010000	0.002434	0.300623	0.001752	100.000000	91.820000	99.960000	
0.010000	0.002458	0.303393	0.002196	100.000000	91.530000	99.950000	
0.010000	0.002365	0.301343	0.001763	100.000000	91.770000	99.960000	
0.010000	0.002367	0.303010	0.002009	100.000000	91.730000	99.940000	
0.010000	0.002298	0.300212	0.001998	100.000000	91.830000	99.940000	
0.010000	0.002289	0.300643	0.001864	100.000000	91.790000	99.960000	
0.010000	0.002261	0.300898	0.002116	100.000000	91.610000	99.950000	
0.010000	0.002200	0.300141	0.002135	100.000000	91.740000	99.940000	
0.010000	0.002152	0.301713	0.001807	100.000000	91.800000	99.960000	
0.010000	0.002147	0.297462	0.001979	100.000000	91.800000	99.970000	
0.010000	0.002167	0.298806	0.001831	100.000000	91.760000	99.960000	
0.010000	0.002166	0.300124	0.001863	100.000000	91.740000	99.970000	
0.001000	0.002128	0.299911	0.001737	100.000000	91.720000	99.970000	
0.001000	0.002036	0.300110	0.001766	100.000000	91.760000	99.970000	
0.001000	0.002036	0.300141	0.001581	100.000000	91.770000	99.970000	
0.001000	0.002094	0.298338	0.001923	100.000000	91.840000	99.970000	
0.001000	0.001985	0.297354	0.002013	100.000000	91.700000	99.960000	
0.001000	0.002030	0.296645	0.002058	100.000000	91.730000	99.950000	
0.001000	0.002042	0.296993	0.001816	100.000000	91.760000	99.970000	
0.001000	0.002025	0.297081	0.001998	100.000000	91.920000	99.960000	
0.001000	0.002041	0.299654	0.001671	100.000000	91.850000	99.970000	
0.001000	0.002060	0.299059	0.001864	100.000000	91.730000	99.970000	
0.001000	0.002035	0.299192	0.001832	100.000000	91.890000	99.960000	
0.001000	0.002031	0.298898	0.001716	100.000000	91.890000	99.970000	
0.001000	0.002019	0.297563	0.001855	100.000000	91.820000	99.960000	
0.001000	0.002013	0.297898	0.002008	100.000000	91.800000	99.950000	
0.001000	0.002017	0.298186	0.001570	100.000000	91.760000	99.970000	
0.001000	0.002046	0.298233	0.001741	100.000000	91.810000	99.970000	
0.001000	0.002016	0.297862	0.001875	99.997915	91.840000	99.960000	
0.001000	0.002011	0.298165	0.002015	100.000000	91.800000	99.950000	
0.001000	0.002027	0.297528	0.001597	100.000000	91.820000	99.980000	
0.001000	0.002006	0.298081	0.001608	100.000000	91.760000	99.970000	
