Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.100000	0.234876	0.570511	0.074750	91.979309	81.150000	97.820000	
0.100000	0.225836	0.895705	0.000935	92.308812	74.740000	99.980000	
0.100000	0.232530	0.702096	0.951552	91.900061	79.180000	76.400000	
0.100000	0.233254	0.730630	0.000130	92.075240	76.380000	99.990000	
0.100000	0.225803	0.484509	0.218665	92.356777	84.180000	93.710000	
0.100000	0.231191	1.387791	0.004267	92.050215	64.900000	99.910000	
0.100000	0.223404	0.745349	0.006714	92.260846	77.160000	99.760000	
0.100000	0.232700	0.562545	0.000475	91.887548	81.730000	99.990000	
0.100000	0.232820	0.631201	0.000928	92.023104	80.550000	99.970000	
0.100000	0.224508	0.608023	0.002783	92.377632	80.860000	99.930000	
0.100000	0.232355	0.704837	0.007895	91.985565	77.420000	99.810000	
0.100000	0.229416	0.830578	0.000030	92.075240	75.590000	100.000000	
0.100000	0.224077	0.576638	0.000295	92.214966	81.170000	99.990000	
0.100000	0.229367	0.509011	0.000426	92.271274	83.140000	99.990000	
0.100000	0.230968	0.744978	0.005578	92.108608	77.850000	99.850000	
0.100000	0.222433	0.580881	0.029578	92.408914	80.920000	99.130000	
0.100000	0.226839	0.597003	0.001695	92.242077	80.270000	99.940000	
0.100000	0.228758	0.533229	0.000535	92.194111	82.620000	99.980000	
0.100000	0.231500	0.460942	0.000162	92.177428	84.900000	99.990000	
0.100000	0.220613	0.550218	0.000146	92.358863	81.950000	100.000000	
0.100000	0.225300	0.483707	0.001813	92.292128	84.090000	99.930000	
0.100000	0.229318	0.579334	0.005436	92.108607	81.460000	99.850000	
0.100000	0.228971	0.602143	0.000215	92.244162	79.920000	99.990000	
0.100000	0.224539	0.541082	0.001470	92.365119	82.160000	99.960000	
0.100000	0.225768	0.503549	0.012613	92.277530	83.460000	99.680000	
0.100000	0.227135	0.575043	0.099053	92.235820	81.740000	96.790000	
0.100000	0.224596	0.585537	0.000252	92.283786	81.080000	99.990000	
0.100000	0.224910	0.572537	0.006322	92.342179	81.810000	99.880000	
0.100000	0.226095	0.530301	0.001098	92.189940	82.310000	99.960000	
0.100000	0.228213	0.563091	0.000163	92.141975	81.940000	100.000000	
0.100000	0.232043	0.526546	0.000273	92.050214	82.480000	99.990000	
0.100000	0.225537	0.661361	0.001634	92.354692	78.800000	99.930000	
0.100000	0.215212	0.562809	0.027749	92.584093	81.720000	99.210000	
0.100000	0.231534	0.556549	0.000077	92.052300	82.470000	100.000000	
0.100000	0.225328	0.683393	0.035391	92.312983	79.010000	98.930000	
0.100000	0.228299	0.770876	0.016640	92.173257	77.120000	99.490000	
0.100000	0.222798	0.782409	0.059042	92.500674	76.300000	98.430000	
0.100000	0.225525	0.574905	0.001173	92.283786	82.030000	99.960000	
0.100000	0.223621	0.669457	2.273447	92.358863	79.820000	51.150000	
