Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.100000	2.364852	2.025523	1.663588	19.526182	17.230000	48.520000	
0.100000	1.920285	1.923258	1.788421	23.438509	24.030000	17.100000	
0.100000	1.757844	1.827335	1.893159	30.737627	30.140000	16.920000	
0.100000	1.549492	1.700484	1.382726	41.609141	38.250000	39.010000	
0.100000	1.343708	1.362840	1.831647	51.083396	54.830000	9.450000	
0.100000	1.201643	1.433201	2.106300	57.519132	55.000000	9.010000	
0.100000	1.101405	1.063068	1.805338	61.952825	66.050000	13.630000	
0.100000	1.019159	0.953352	2.104790	65.604470	69.010000	10.120000	
0.100000	0.965098	0.884317	1.976414	67.850512	73.240000	8.520000	
0.100000	0.918535	0.923793	2.089656	69.704488	71.890000	7.910000	
0.100000	0.885735	0.967200	2.036657	70.924483	70.840000	6.460000	
0.100000	0.853674	1.243563	1.542871	71.940103	63.110000	27.280000	
0.100000	0.838267	1.282058	2.363386	72.484409	64.300000	7.510000	
0.100000	0.821161	1.400698	2.009035	72.934868	62.720000	15.080000	
0.100000	0.809417	0.950120	2.299235	73.643926	72.210000	8.220000	
0.100000	0.775744	0.701881	2.143350	74.636605	79.650000	10.640000	
0.100000	0.782311	0.880533	2.207843	74.653289	74.140000	7.740000	
0.100000	0.769329	1.440830	2.088529	75.043271	61.440000	9.360000	
0.100000	0.761729	0.869017	2.115476	75.264330	74.440000	7.430000	
0.100000	0.752175	1.105314	2.059949	75.595918	67.930000	8.020000	
0.100000	0.742806	0.716391	2.099134	76.063062	79.510000	9.930000	
0.100000	0.741332	0.942800	2.010623	75.990071	72.320000	7.350000	
0.100000	0.726211	1.231032	1.854471	76.440530	66.260000	16.740000	
0.100000	0.729239	0.771543	2.201464	76.471812	76.000000	8.280000	
0.100000	0.719970	1.856056	2.221814	76.732495	51.190000	3.350000	
0.100000	0.710629	0.861816	2.071207	76.893075	74.770000	12.570000	
0.100000	0.704097	0.775578	2.086734	77.039058	77.570000	9.050000	
0.100000	0.704357	0.828402	1.855816	76.995263	76.880000	10.720000	
0.100000	0.708758	0.912637	1.969601	76.882648	73.880000	12.550000	
0.100000	0.701889	1.016690	2.157967	77.162100	71.890000	6.940000	
0.100000	0.687360	0.711109	2.198001	77.773141	79.260000	9.000000	
0.100000	0.697554	0.766479	1.850293	77.426954	78.570000	13.930000	
0.100000	0.690752	0.728855	2.184963	77.700149	78.940000	11.420000	
0.100000	0.690823	1.054874	1.805067	77.472834	71.180000	9.430000	
0.100000	0.682576	0.856164	1.879373	77.783568	76.260000	16.600000	
0.100000	0.682256	0.954730	1.929609	77.808594	72.740000	12.390000	
0.100000	0.675183	0.958415	1.960801	78.152695	74.880000	12.480000	
0.100000	0.670785	1.166647	1.972404	78.219430	67.960000	15.000000	
0.100000	0.667152	1.353076	1.717855	78.327874	62.390000	11.740000	
0.100000	0.663247	0.849337	2.025946	78.515565	75.510000	11.410000	
0.100000	0.677212	1.946225	1.840437	78.019225	53.650000	20.430000	
